"id","location","temperature","date","time"
"120","Home","4.85","2024-02-26","18:02:07"
"121","Home","4.68","2024-02-26","18:07:08"
"122","Home","4.64","2024-02-26","18:12:10"
"123","Home","4.52","2024-02-26","18:17:11"
"124","Home","4.39","2024-02-26","18:22:12"
"125","Home","4.33","2024-02-26","18:27:13"
"126","Home","4.25","2024-02-26","18:32:14"
"127","Home","4.21","2024-02-26","18:37:15"
"128","Home","4.19","2024-02-26","18:42:16"
"129","Home","4.16","2024-02-26","18:47:17"
"130","Home","4.08","2024-02-26","18:52:18"
"131","Home","4.08","2024-02-26","18:57:19"
"132","Home","4.08","2024-02-26","19:02:20"
"133","Home","4.04","2024-02-26","19:07:21"
"134","Home","4.02","2024-02-26","19:12:23"
"135","Home","4.00","2024-02-26","19:17:24"
"136","Home","3.96","2024-02-26","19:22:25"
"137","Home","3.92","2024-02-26","19:27:26"
"138","Home","3.92","2024-02-26","19:32:28"
"139","Home","3.88","2024-02-26","19:37:29"
"140","Home","3.86","2024-02-26","19:42:30"
"141","Home","3.84","2024-02-26","19:47:31"
"142","Home","3.84","2024-02-26","19:52:33"
"143","Home","3.82","2024-02-26","19:57:34"
"144","Home","3.81","2024-02-26","20:02:36"
"145","Home","3.79","2024-02-26","20:07:37"
"146","Home","3.75","2024-02-26","20:12:38"
"147","Home","3.80","2024-02-26","20:17:39"
"148","Home","3.79","2024-02-26","20:22:40"
"149","Home","3.76","2024-02-26","20:27:44"
"150","Home","3.74","2024-02-26","20:32:47"
"151","Home","3.73","2024-02-26","20:37:48"
"152","Home","3.74","2024-02-26","20:42:49"
"153","Home","3.75","2024-02-26","20:47:50"
"154","Home","3.73","2024-02-26","20:52:52"
"155","Home","3.73","2024-02-26","20:57:54"
"156","Home","3.72","2024-02-26","21:02:56"
"157","Home","3.72","2024-02-26","21:08:00"
"158","Home","3.69","2024-02-26","21:13:01"
"159","Home","3.68","2024-02-26","21:13:06"
"160","Home","3.68","2024-02-26","21:18:05"
"161","Home","3.65","2024-02-26","21:23:07"
"162","Home","3.63","2024-02-26","21:28:08"
"163","Home","3.57","2024-02-26","21:33:09"
"164","Home","3.54","2024-02-26","21:38:10"
"165","Home","3.55","2024-02-26","21:43:13"
"166","Home","3.52","2024-02-26","21:48:14"
"167","Home","3.51","2024-02-26","21:53:16"
"168","Home","3.51","2024-02-26","21:58:17"
"169","Home","3.48","2024-02-26","22:03:18"
"170","Home","3.42","2024-02-26","22:08:19"
"171","Home","3.37","2024-02-26","22:13:20"
"172","Home","3.34","2024-02-26","22:18:21"
"173","Home","3.30","2024-02-26","22:23:23"
"174","Home","3.36","2024-02-26","22:28:24"
"175","Home","3.39","2024-02-26","22:33:26"
"176","Home","3.40","2024-02-26","22:38:27"
"177","Home","3.45","2024-02-26","22:43:28"
"178","Home","3.44","2024-02-26","22:48:29"
"179","Home","3.46","2024-02-26","22:53:32"
"180","Home","3.45","2024-02-26","22:58:33"
"181","Home","3.38","2024-02-26","23:03:34"
"182","Home","3.36","2024-02-26","23:08:35"
"183","Home","3.36","2024-02-26","23:13:36"
"184","Home","3.41","2024-02-26","23:18:38"
"185","Home","3.39","2024-02-26","23:23:39"
"186","Home","3.34","2024-02-26","23:28:41"
"187","Home","3.18","2024-02-26","23:33:42"
"188","Home","3.10","2024-02-26","23:38:43"
"189","Home","2.97","2024-02-26","23:43:44"
"190","Home","2.97","2024-02-26","23:48:45"
"191","Home","3.02","2024-02-26","23:53:46"
"192","Home","3.07","2024-02-26","23:58:47"
"193","Home","3.11","2024-02-27","00:03:48"
"194","Home","3.13","2024-02-27","00:08:49"
"195","Home","3.09","2024-02-27","00:13:50"
"196","Home","3.10","2024-02-27","00:18:51"
"197","Home","3.04","2024-02-27","00:23:52"
"198","Home","3.03","2024-02-27","00:28:53"
"199","Home","3.00","2024-02-27","00:33:54"
"200","Home","2.99","2024-02-27","00:39:03"
"201","Home","3.02","2024-02-27","00:44:07"
"202","Home","3.05","2024-02-27","00:49:08"
"203","Home","3.10","2024-02-27","00:54:09"
"204","Home","3.05","2024-02-27","00:59:11"
"205","Home","3.00","2024-02-27","01:04:12"
"206","Home","2.98","2024-02-27","01:09:13"
"207","Home","2.98","2024-02-27","01:14:14"
"208","Home","2.94","2024-02-27","01:19:16"
"209","Home","2.96","2024-02-27","01:24:17"
"210","Home","2.97","2024-02-27","01:29:18"
"211","Home","2.91","2024-02-27","01:34:19"
"212","Home","2.97","2024-02-27","01:39:20"
"213","Home","2.95","2024-02-27","01:44:21"
"214","Home","2.99","2024-02-27","01:49:23"
"215","Home","3.01","2024-02-27","01:54:24"
"216","Home","2.93","2024-02-27","01:59:26"
"217","Home","2.94","2024-02-27","02:04:27"
"218","Home","2.95","2024-02-27","02:09:28"
"219","Home","2.91","2024-02-27","02:14:29"
"220","Home","2.94","2024-02-27","02:19:30"
"221","Home","2.97","2024-02-27","02:24:31"
"222","Home","2.89","2024-02-27","02:29:32"
"223","Home","2.82","2024-02-27","02:34:33"
"224","Home","2.78","2024-02-27","02:39:35"
"225","Home","2.67","2024-02-27","02:44:36"
"226","Home","2.62","2024-02-27","02:49:37"
"227","Home","2.56","2024-02-27","02:54:38"
"228","Home","2.62","2024-02-27","02:59:39"
"229","Home","2.67","2024-02-27","03:04:40"
"230","Home","2.65","2024-02-27","03:09:41"
"231","Home","2.70","2024-02-27","03:14:42"
"232","Home","2.71","2024-02-27","03:19:43"
"233","Home","2.62","2024-02-27","03:24:44"
"234","Home","2.59","2024-02-27","03:29:45"
"235","Home","2.54","2024-02-27","03:34:46"
"236","Home","2.46","2024-02-27","03:39:47"
"237","Home","2.33","2024-02-27","03:44:48"
"238","Home","2.40","2024-02-27","03:49:49"
"239","Home","2.50","2024-02-27","03:54:51"
"240","Home","2.43","2024-02-27","03:59:52"
"241","Home","2.42","2024-02-27","04:04:53"
"242","Home","2.47","2024-02-27","04:09:54"
"243","Home","2.39","2024-02-27","04:14:55"
"244","Home","2.35","2024-02-27","04:19:56"
"245","Home","2.36","2024-02-27","04:24:57"
"246","Home","2.39","2024-02-27","04:29:58"
"247","Home","2.45","2024-02-27","04:34:59"
"248","Home","2.55","2024-02-27","04:40:00"
"249","Home","2.59","2024-02-27","04:45:01"
"250","Home","2.66","2024-02-27","04:50:02"
"251","Home","2.76","2024-02-27","04:55:03"
"252","Home","2.79","2024-02-27","05:00:05"
"253","Home","2.81","2024-02-27","05:05:06"
"254","Home","2.79","2024-02-27","05:10:07"
"255","Home","2.69","2024-02-27","05:15:09"
"256","Home","2.69","2024-02-27","05:20:10"
"257","Home","2.68","2024-02-27","05:25:11"
"258","Home","2.62","2024-02-27","05:30:12"
"259","Home","2.55","2024-02-27","05:35:13"
